source_event_id,loan_id,customer_id,product_code,currency,principal_amount,outstanding_amount,interest_rate,tenor_months,disbursed_at,maturity_date,npa_status,days_past_due,last_repayment_at,collateral_value,branch_code,payload
EV-LOAN-L000045,L000045,C05824,PL_RET,KES,166205.68,32826.03,0.2104,18,2025-10-15T00:00:00+00:00,2027-04-08,PERFORMING,0,2026-04-14T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000046,L000046,C09122,AUTO_RET,KES,1432465.01,913177.12,0.1747,42,2025-10-16T00:00:00+00:00,2029-03-29,DOUBTFUL,244,2025-12-23T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000047,L000047,C03001,AUTO_RET,KES,2029469.14,1690146.02,0.1454,37,2023-08-11T00:00:00+00:00,2026-08-25,WATCH,37,2026-04-22T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000048,L000048,C07109,PL_RET,KES,147619.48,85241.90,0.2175,24,2023-07-19T00:00:00+00:00,2025-07-08,PERFORMING,5,2026-04-24T00:00:00+00:00,,NKR-040,{}
EV-LOAN-L000049,L000049,C09476,PL_RET,KES,349473.73,57805.35,0.2392,15,2025-12-11T00:00:00+00:00,2027-03-06,PERFORMING,24,2026-04-10T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000050,L000050,C01671,AUTO_RET,KES,1099098.62,395248.13,0.1538,32,2023-07-21T00:00:00+00:00,2026-03-07,PERFORMING,12,2026-04-19T00:00:00+00:00,,KSM-020,{}
EV-LOAN-L000051,L000051,C08322,AUTO_RET,KES,612861.38,339053.45,0.1457,40,2026-11-06T00:00:00+00:00,2030-02-18,PERFORMING,0,2026-04-04T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000052,L000052,C09917,AUTO_RET,KES,395851.72,196366.14,0.1681,42,2026-08-03T00:00:00+00:00,2030-01-14,PERFORMING,14,2026-04-18T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000053,L000053,C02943,AUTO_RET,KES,2073197.22,863789.86,0.1319,46,2024-10-13T00:00:00+00:00,2028-07-24,PERFORMING,0,2026-04-05T00:00:00+00:00,,KSM-020,{}
EV-LOAN-L000054,L000054,C04054,PL_RET,KES,130745.54,58894.40,0.2263,27,2024-11-03T00:00:00+00:00,2027-01-22,PERFORMING,0,2026-04-25T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000055,L000055,C01747,AUTO_RET,KES,1171173.96,433847.44,0.1557,37,2025-04-14T00:00:00+00:00,2028-04-28,PERFORMING,9,2026-04-01T00:00:00+00:00,,KSM-020,{}
EV-LOAN-L000056,L000056,C03941,PL_RET,KES,62617.89,26377.66,0.2224,16,2026-09-11T00:00:00+00:00,2028-01-04,PERFORMING,0,2026-04-19T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000057,L000057,C00753,INV_SME,KES,3929059.46,2200582.05,0.1688,55,2025-07-15T00:00:00+00:00,2030-01-20,WATCH,45,2026-04-15T00:00:00+00:00,5129984.34,KSM-020,{}
EV-LOAN-L000058,L000058,C08791,PL_RET,KES,431729.41,203573.08,0.2370,12,2025-02-11T00:00:00+00:00,2026-02-06,PERFORMING,0,2026-04-16T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000059,L000059,C06766,PL_RET,KES,329056.19,197955.32,0.2118,21,2026-07-14T00:00:00+00:00,2028-04-04,PERFORMING,0,2026-04-03T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000060,L000060,C02557,AUTO_RET,KES,747096.55,452042.03,0.1743,33,2024-10-13T00:00:00+00:00,2027-06-30,PERFORMING,0,2026-04-01T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000061,L000061,C02961,INV_SME,KES,6760221.76,2589779.80,0.1843,51,2026-06-09T00:00:00+00:00,2030-08-17,PERFORMING,0,2026-04-02T00:00:00+00:00,5426540.39,MSA-010,{}
EV-LOAN-L000062,L000062,C08873,WC_SME,KES,3634751.40,2590790.10,0.1609,35,2025-05-27T00:00:00+00:00,2028-04-11,WATCH,34,2026-04-22T00:00:00+00:00,2341391.68,MSA-010,{}
EV-LOAN-L000063,L000063,C04373,CORP_TL,KES,6352519.62,2533652.76,0.1294,34,2024-03-02T00:00:00+00:00,2026-12-17,PERFORMING,0,2026-04-11T00:00:00+00:00,7771720.04,NBO-001,{}
EV-LOAN-L000064,L000064,C05147,WC_SME,KES,4842875.91,2911361.14,0.1972,27,2026-07-24T00:00:00+00:00,2028-10-11,PERFORMING,0,2026-04-17T00:00:00+00:00,4444159.31,NKR-040,{}
EV-LOAN-L000065,L000065,C07605,INV_SME,KES,4027301.58,699739.64,0.1589,44,2025-03-22T00:00:00+00:00,2028-11-01,PERFORMING,0,2026-04-19T00:00:00+00:00,2787459.53,NKR-040,{}
EV-LOAN-L000066,L000066,C04402,WC_SME,KES,3700693.09,1152845.01,0.1728,34,2024-04-28T00:00:00+00:00,2027-02-12,PERFORMING,0,2026-04-03T00:00:00+00:00,2581160.25,NBO-002,{}
EV-LOAN-L000067,L000067,C01361,CORP_TL,KES,11142543.56,6264110.47,0.1166,31,2024-12-18T00:00:00+00:00,2027-07-06,WATCH,47,2026-04-02T00:00:00+00:00,10880334.93,MSA-010,{}
EV-LOAN-L000068,L000068,C01415,PL_RET,KES,293291.18,120169.04,0.1951,29,2026-09-16T00:00:00+00:00,2029-02-02,PERFORMING,0,2026-04-24T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000069,L000069,C03605,INV_SME,KES,3179055.02,292486.40,0.1741,53,2026-02-28T00:00:00+00:00,2030-07-07,PERFORMING,0,2026-04-26T00:00:00+00:00,2793626.43,ELD-030,{}
EV-LOAN-L000070,L000070,C02524,AUTO_RET,KES,1297446.21,680564.12,0.1538,34,2023-11-06T00:00:00+00:00,2026-08-22,PERFORMING,0,2026-04-04T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000071,L000071,C02849,PL_RET,KES,200375.40,83103.30,0.2077,27,2025-02-05T00:00:00+00:00,2027-04-26,PERFORMING,27,2026-04-21T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000072,L000072,C09744,AUTO_RET,KES,1217582.57,444948.56,0.1760,27,2024-08-11T00:00:00+00:00,2026-10-30,PERFORMING,0,2026-04-13T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000073,L000073,C07202,AUTO_RET,KES,2249566.85,118806.32,0.1660,45,2026-01-26T00:00:00+00:00,2029-10-07,PERFORMING,0,2026-04-11T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000074,L000074,C02612,INV_SME,KES,2954235.86,343684.65,0.1490,29,2023-07-12T00:00:00+00:00,2025-11-28,PERFORMING,5,2026-04-17T00:00:00+00:00,2279255.62,NBO-003,{}
EV-LOAN-L000075,L000075,C04107,PL_RET,KES,160093.30,110581.16,0.2145,21,2025-04-05T00:00:00+00:00,2026-12-26,PERFORMING,15,2026-04-24T00:00:00+00:00,,KSM-020,{}
EV-LOAN-L000076,L000076,C06248,PL_RET,KES,211441.83,16778.95,0.2127,16,2025-02-27T00:00:00+00:00,2026-06-22,PERFORMING,0,2026-04-01T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000077,L000077,C07158,PL_RET,KES,376930.57,227347.21,0.2209,33,2026-01-21T00:00:00+00:00,2028-10-07,PERFORMING,7,2026-04-17T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000078,L000078,C00077,PL_RET,KES,254095.60,68926.56,0.2195,21,2024-02-16T00:00:00+00:00,2025-11-07,PERFORMING,0,2026-04-21T00:00:00+00:00,,NKR-040,{}
EV-LOAN-L000079,L000079,C01098,PL_RET,KES,280054.15,103372.36,0.1811,18,2026-09-23T00:00:00+00:00,2028-03-16,PERFORMING,0,2026-04-07T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000080,L000080,C05755,PL_RET,KES,366852.99,214050.53,0.2187,19,2026-06-26T00:00:00+00:00,2028-01-17,WATCH,46,2026-04-23T00:00:00+00:00,,KSM-020,{}
EV-LOAN-L000081,L000081,C07312,AUTO_RET,KES,1423140.12,850489.81,0.1740,35,2024-09-12T00:00:00+00:00,2027-07-29,PERFORMING,0,2026-04-26T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000082,L000082,C02039,AUTO_RET,KES,442966.80,43577.48,0.1564,57,2023-07-23T00:00:00+00:00,2028-03-28,PERFORMING,0,2026-04-07T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000083,L000083,C04079,PL_RET,KES,285943.18,50365.87,0.1889,29,2024-08-09T00:00:00+00:00,2026-12-27,PERFORMING,0,2026-04-05T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000084,L000084,C00041,INV_SME,KES,1085850.28,362254.13,0.1813,45,2024-01-09T00:00:00+00:00,2027-09-20,PERFORMING,0,2026-04-07T00:00:00+00:00,1337340.81,KSM-020,{}
EV-LOAN-L000085,L000085,C01405,PL_RET,KES,115757.00,13102.88,0.2106,27,2024-11-17T00:00:00+00:00,2027-02-05,PERFORMING,0,2026-04-04T00:00:00+00:00,,KSM-020,{}
EV-LOAN-L000086,L000086,C04153,CORP_TL,KES,19434902.01,9831208.95,0.1202,39,2023-08-17T00:00:00+00:00,2026-10-30,PERFORMING,0,2026-04-10T00:00:00+00:00,22876440.34,NBO-001,{}
EV-LOAN-L000087,L000087,C06330,PL_RET,KES,329184.63,94050.39,0.2065,14,2025-03-11T00:00:00+00:00,2026-05-05,PERFORMING,0,2026-04-01T00:00:00+00:00,,KSM-020,{}
EV-LOAN-L000088,L000088,C07792,AUTO_RET,KES,1978243.26,110064.99,0.1694,28,2025-10-21T00:00:00+00:00,2028-02-08,PERFORMING,4,2026-04-15T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000089,L000089,C02556,PL_RET,KES,220482.92,57666.04,0.1861,35,2026-11-09T00:00:00+00:00,2029-09-24,PERFORMING,11,2026-04-14T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000090,L000090,C09618,PL_RET,KES,241019.86,143256.73,0.2181,32,2023-10-15T00:00:00+00:00,2026-06-01,PERFORMING,0,2026-04-12T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000091,L000091,C03854,PL_RET,KES,348506.86,111172.87,0.2051,28,2025-01-08T00:00:00+00:00,2027-04-28,PERFORMING,0,2026-04-04T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000092,L000092,C06686,AUTO_RET,KES,958643.36,419302.76,0.1679,60,2025-09-07T00:00:00+00:00,2030-08-12,PERFORMING,0,2026-04-12T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000093,L000093,C09466,PL_RET,KES,115998.34,26249.45,0.2313,31,2024-04-07T00:00:00+00:00,2026-10-24,PERFORMING,0,2026-04-12T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000094,L000094,C02760,PL_RET,KES,226404.52,157350.47,0.2162,36,2025-08-01T00:00:00+00:00,2028-07-16,PERFORMING,0,2026-04-23T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000095,L000095,C06706,INV_SME,KES,5919922.81,2243796.29,0.1759,26,2026-05-12T00:00:00+00:00,2028-06-30,PERFORMING,14,2026-04-24T00:00:00+00:00,5598798.15,ELD-030,{}
EV-LOAN-L000096,L000096,C07929,INV_SME,KES,5476459.28,3495505.76,0.1894,34,2025-07-13T00:00:00+00:00,2028-04-28,WATCH,47,2026-04-11T00:00:00+00:00,7430853.84,ELD-030,{}
EV-LOAN-L000097,L000097,C08864,PL_RET,KES,117078.12,18118.97,0.2360,12,2026-07-13T00:00:00+00:00,2027-07-08,PERFORMING,0,2026-04-23T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000098,L000098,C07202,AUTO_RET,KES,1748098.91,1148768.25,0.1793,48,2024-08-01T00:00:00+00:00,2028-07-11,PERFORMING,0,2026-04-08T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000099,L000099,C08040,PL_RET,KES,125595.03,91440.15,0.2049,24,2025-11-23T00:00:00+00:00,2027-11-13,LOSS,601,2026-01-31T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000100,L000100,C06793,PL_RET,KES,418827.63,153458.08,0.2122,21,2023-04-12T00:00:00+00:00,2025-01-01,PERFORMING,0,2026-04-22T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000101,L000101,C05462,AUTO_RET,KES,1636156.14,295347.97,0.1619,27,2026-03-09T00:00:00+00:00,2028-05-27,PERFORMING,0,2026-04-20T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000102,L000102,C08419,WC_SME,KES,692608.08,395750.96,0.1731,36,2024-02-21T00:00:00+00:00,2027-02-05,WATCH,49,2026-04-26T00:00:00+00:00,947855.70,MSA-010,{}
EV-LOAN-L000103,L000103,C06981,PL_RET,KES,323837.58,171786.13,0.2396,30,2025-01-27T00:00:00+00:00,2027-07-16,WATCH,34,2026-04-01T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000104,L000104,C07300,PL_RET,KES,252452.79,166401.70,0.1930,27,2026-07-08T00:00:00+00:00,2028-09-25,PERFORMING,0,2026-04-01T00:00:00+00:00,,ELD-030,{}
EV-LOAN-L000105,L000105,C01044,AUTO_RET,KES,533831.09,358075.04,0.1308,50,2026-02-13T00:00:00+00:00,2030-03-24,PERFORMING,0,2026-04-20T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000106,L000106,C06102,AUTO_RET,KES,747403.39,241446.76,0.1678,35,2025-02-15T00:00:00+00:00,2028-01-01,PERFORMING,0,2026-04-03T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000107,L000107,C00625,AUTO_RET,KES,2150369.88,1460906.42,0.1325,25,2025-01-14T00:00:00+00:00,2027-02-03,PERFORMING,0,2026-04-13T00:00:00+00:00,,KSM-020,{}
EV-LOAN-L000108,L000108,C01789,WC_SME,KES,1982191.52,1266268.43,0.1856,15,2023-01-22T00:00:00+00:00,2024-04-16,PERFORMING,0,2026-04-04T00:00:00+00:00,1981744.83,ELD-030,{}
EV-LOAN-L000109,L000109,C00989,WC_SME,KES,4130661.36,2866863.22,0.1801,27,2024-04-04T00:00:00+00:00,2026-06-23,PERFORMING,0,2026-04-18T00:00:00+00:00,3731268.90,KSM-020,{}
EV-LOAN-L000110,L000110,C05763,AUTO_RET,KES,520232.05,145288.51,0.1795,40,2025-09-20T00:00:00+00:00,2029-01-02,PERFORMING,0,2026-04-13T00:00:00+00:00,,NKR-040,{}
EV-LOAN-L000111,L000111,C09644,PL_RET,KES,127500.06,76213.90,0.2004,22,2025-05-24T00:00:00+00:00,2027-03-15,PERFORMING,0,2026-04-12T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000112,L000112,C00388,AUTO_RET,KES,2321512.57,1127123.46,0.1466,39,2023-10-28T00:00:00+00:00,2027-01-10,WATCH,40,2026-04-17T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000113,L000113,C04299,PL_RET,KES,321778.47,127998.92,0.2267,32,2024-02-12T00:00:00+00:00,2026-09-29,PERFORMING,0,2026-04-19T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000114,L000114,C02445,CORP_TL,KES,18715762.75,7376949.14,0.1284,57,2026-06-11T00:00:00+00:00,2031-02-15,PERFORMING,0,2026-04-11T00:00:00+00:00,17846973.02,NBO-002,{}
EV-LOAN-L000115,L000115,C03609,AUTO_RET,KES,408456.36,193225.28,0.1614,29,2023-04-27T00:00:00+00:00,2025-09-13,PERFORMING,6,2026-04-10T00:00:00+00:00,,NBO-002,{}
EV-LOAN-L000116,L000116,C08897,PL_RET,KES,418609.56,291333.04,0.2355,20,2025-11-14T00:00:00+00:00,2027-07-07,PERFORMING,8,2026-04-13T00:00:00+00:00,,NKR-040,{}
EV-LOAN-L000117,L000117,C05176,INV_SME,KES,1927738.34,474105.99,0.1760,40,2024-10-12T00:00:00+00:00,2028-01-25,PERFORMING,0,2026-04-25T00:00:00+00:00,2329876.60,NBO-001,{}
EV-LOAN-L000118,L000118,C08636,AUTO_RET,KES,1325235.07,511279.68,0.1639,31,2024-12-28T00:00:00+00:00,2027-07-16,PERFORMING,0,2026-04-13T00:00:00+00:00,,NBO-003,{}
EV-LOAN-L000119,L000119,C01245,CORP_TL,KES,10969961.96,6010230.76,0.1211,70,2023-05-16T00:00:00+00:00,2029-02-13,WATCH,36,2026-04-02T00:00:00+00:00,9319617.78,NKR-040,{}
EV-LOAN-L000120,L000120,C04734,PL_RET,KES,113874.59,85482.96,0.1914,29,2023-09-12T00:00:00+00:00,2026-01-29,LOSS,499,2023-12-03T00:00:00+00:00,,MSA-010,{}
EV-LOAN-L000121,L000121,C02534,WC_SME,KES,2758591.96,528582.88,0.1536,32,2026-11-21T00:00:00+00:00,2029-07-08,PERFORMING,0,2026-04-22T00:00:00+00:00,3228779.18,NKR-040,{}
EV-LOAN-L000122,L000122,C04510,PL_RET,KES,365006.29,72861.30,0.1836,32,2025-12-18T00:00:00+00:00,2028-08-04,PERFORMING,9,2026-04-20T00:00:00+00:00,,NKR-040,{}
EV-LOAN-L000123,L000123,C05093,AUTO_RET,KES,1188970.19,430859.27,0.1631,39,2023-10-09T00:00:00+00:00,2026-12-22,PERFORMING,0,2026-04-10T00:00:00+00:00,,KSM-020,{}
EV-LOAN-L000124,L000124,C05512,WC_SME,KES,1427268.05,940792.93,0.1533,19,2025-01-10T00:00:00+00:00,2026-08-03,PERFORMING,0,2026-04-03T00:00:00+00:00,1394072.04,ELD-030,{}
EV-LOAN-L000125,L000125,C07682,WC_SME,KES,2219759.89,472164.50,0.1895,12,2026-11-10T00:00:00+00:00,2027-11-05,PERFORMING,0,2026-04-25T00:00:00+00:00,1983618.79,NBO-003,{}
EV-LOAN-L000126,L000126,C00476,AUTO_RET,KES,396743.37,167825.57,0.1621,48,2025-07-21T00:00:00+00:00,2029-06-30,WATCH,46,2026-04-15T00:00:00+00:00,,NBO-001,{}
EV-LOAN-L000127,L000127,C08445,AUTO_RET,KES,526512.79,101966.76,0.1660,45,2025-11-18T00:00:00+00:00,2029-07-30,PERFORMING,0,2026-04-08T00:00:00+00:00,,NBO-002,{}
