source_event_id,customer_id,bureau_name,score,score_band,score_as_of,delinquencies_12m,open_facilities,total_exposure,enquiries_3m,payload
EV-BUR-C00038,C00038,Metropol,788,A,2026-04-20,2,4,2367471.49,4,{}
EV-BUR-C00039,C00039,Metropol,658,B,2026-04-20,0,5,3698213.33,3,{}
EV-BUR-C00040,C00040,Metropol,693,B,2026-04-20,2,5,1141664.57,2,{}
EV-BUR-C00041,C00041,Metropol,840,A,2026-04-26,1,6,1130173.46,0,{}
EV-BUR-C00042,C00042,Metropol,767,A,2026-04-20,2,1,3593289.05,4,{}
EV-BUR-C00043,C00043,Metropol,738,A,2026-04-24,2,3,2650552.91,4,{}
EV-BUR-C00044,C00044,Metropol,646,B,2026-04-22,0,1,3746179.94,2,{}
EV-BUR-C00045,C00045,CreditInfo,807,A,2026-04-21,2,4,1660576.04,3,{}
EV-BUR-C00046,C00046,Metropol,673,B,2026-04-24,0,4,1700342.15,3,{}
EV-BUR-C00047,C00047,Metropol,809,A,2026-04-21,1,7,3845363.57,0,{}
EV-BUR-C00048,C00048,CreditInfo,664,B,2026-04-23,1,4,932608.91,4,{}
EV-BUR-C00049,C00049,Metropol,717,B,2026-04-23,1,4,1032284.65,0,{}
EV-BUR-C00050,C00050,CreditInfo,420,D,2026-04-21,5,5,1476204.98,3,{}
EV-BUR-C00051,C00051,TransUnion,734,A,2026-04-26,1,1,2092953.47,3,{}
EV-BUR-C00052,C00052,Metropol,706,B,2026-04-20,0,6,1023454.18,4,{}
EV-BUR-C00053,C00053,CreditInfo,759,A,2026-04-24,0,5,3806975.43,1,{}
EV-BUR-C00054,C00054,TransUnion,749,A,2026-04-24,1,2,3590941.26,2,{}
EV-BUR-C00055,C00055,CreditInfo,519,C,2026-04-25,9,3,513703.52,3,{}
EV-BUR-C00056,C00056,TransUnion,596,C,2026-04-23,2,7,1663980.22,1,{}
EV-BUR-C00057,C00057,Metropol,769,A,2026-04-21,0,5,574903.27,4,{}
EV-BUR-C00058,C00058,TransUnion,752,A,2026-04-22,2,5,2783311.58,1,{}
EV-BUR-C00059,C00059,Metropol,540,C,2026-04-20,2,4,1595272.89,0,{}
EV-BUR-C00060,C00060,Metropol,563,C,2026-04-25,2,6,3439717.09,0,{}
EV-BUR-C00061,C00061,Metropol,827,A,2026-04-25,2,1,1717386.87,4,{}
EV-BUR-C00062,C00062,CreditInfo,622,B,2026-04-24,2,1,3932167.59,4,{}
EV-BUR-C00063,C00063,Metropol,746,A,2026-04-26,1,4,2373138.13,4,{}
EV-BUR-C00064,C00064,CreditInfo,637,B,2026-04-26,1,1,1284015.34,0,{}
EV-BUR-C00065,C00065,Metropol,649,B,2026-04-25,1,7,3817878.97,2,{}
EV-BUR-C00066,C00066,TransUnion,635,B,2026-04-23,2,6,1749616.38,3,{}
EV-BUR-C00067,C00067,CreditInfo,557,C,2026-04-22,2,3,549373.50,3,{}
EV-BUR-C00068,C00068,TransUnion,578,C,2026-04-20,1,7,727895.02,2,{}
EV-BUR-C00069,C00069,CreditInfo,552,C,2026-04-21,0,1,3867046.85,4,{}
EV-BUR-C00070,C00070,TransUnion,612,B,2026-04-22,1,5,1944014.15,0,{}
EV-BUR-C00071,C00071,TransUnion,743,A,2026-04-25,2,5,1042600.95,3,{}
EV-BUR-C00072,C00072,Metropol,795,A,2026-04-26,1,3,361240.56,4,{}
EV-BUR-C00073,C00073,TransUnion,821,A,2026-04-26,0,4,605343.59,1,{}
EV-BUR-C00074,C00074,CreditInfo,574,C,2026-04-25,0,3,3599742.45,0,{}
EV-BUR-C00075,C00075,TransUnion,727,A,2026-04-21,1,7,3128651.68,1,{}
EV-BUR-C00076,C00076,TransUnion,666,B,2026-04-24,0,7,2745602.81,3,{}
EV-BUR-C00077,C00077,CreditInfo,701,B,2026-04-24,1,3,1752314.89,0,{}
EV-BUR-C00078,C00078,CreditInfo,406,D,2026-04-22,8,1,2770968.38,0,{}
EV-BUR-C00079,C00079,Metropol,748,A,2026-04-25,2,1,1287241.29,4,{}
EV-BUR-C00080,C00080,Metropol,471,D,2026-04-24,5,7,87231.08,2,{}
EV-BUR-C00081,C00081,Metropol,313,E,2026-04-23,6,5,221826.63,4,{}
EV-BUR-C00082,C00082,CreditInfo,635,B,2026-04-26,1,5,603296.44,2,{}
EV-BUR-C00083,C00083,CreditInfo,704,B,2026-04-21,1,6,2360467.77,0,{}
EV-BUR-C00084,C00084,TransUnion,714,B,2026-04-22,0,3,3675868.93,2,{}
EV-BUR-C00085,C00085,CreditInfo,606,B,2026-04-21,1,7,2020443.85,4,{}
EV-BUR-C00086,C00086,Metropol,683,B,2026-04-24,0,6,409663.87,1,{}
EV-BUR-C00087,C00087,CreditInfo,696,B,2026-04-26,1,6,240658.26,0,{}
EV-BUR-C00088,C00088,TransUnion,791,A,2026-04-21,2,7,1663519.25,4,{}
EV-BUR-C00089,C00089,TransUnion,327,E,2026-04-25,7,6,1897629.74,4,{}
EV-BUR-C00090,C00090,CreditInfo,550,C,2026-04-22,1,6,885158.52,2,{}
EV-BUR-C00091,C00091,CreditInfo,757,A,2026-04-25,0,7,2572397.52,0,{}
EV-BUR-C00092,C00092,CreditInfo,704,B,2026-04-22,1,6,356668.87,4,{}
EV-BUR-C00093,C00093,Metropol,808,A,2026-04-20,2,6,2282453.95,4,{}
EV-BUR-C00094,C00094,CreditInfo,809,A,2026-04-20,0,2,1248921.89,4,{}
EV-BUR-C00095,C00095,CreditInfo,583,C,2026-04-22,0,2,92755.72,0,{}
EV-BUR-C00096,C00096,Metropol,593,C,2026-04-23,0,6,293217.56,3,{}
EV-BUR-C00097,C00097,CreditInfo,731,A,2026-04-25,0,3,1430410.71,1,{}
EV-BUR-C00098,C00098,CreditInfo,559,C,2026-04-23,0,1,276313.43,2,{}
EV-BUR-C00099,C00099,CreditInfo,548,C,2026-04-23,1,2,500957.58,2,{}
EV-BUR-C00100,C00100,Metropol,768,A,2026-04-22,0,2,910685.25,3,{}
EV-BUR-C00101,C00101,TransUnion,625,B,2026-04-22,2,5,722146.27,2,{}
EV-BUR-C00102,C00102,TransUnion,794,A,2026-04-20,2,1,841425.68,1,{}
EV-BUR-C00103,C00103,CreditInfo,823,A,2026-04-21,0,4,395807.23,1,{}
EV-BUR-C00104,C00104,CreditInfo,792,A,2026-04-21,0,6,2038030.82,1,{}
EV-BUR-C00105,C00105,CreditInfo,652,B,2026-04-21,2,1,1331579.17,3,{}
EV-BUR-C00106,C00106,Metropol,743,A,2026-04-20,2,6,663639.10,1,{}
EV-BUR-C00107,C00107,Metropol,629,B,2026-04-23,2,3,2055514.94,1,{}
EV-BUR-C00108,C00108,TransUnion,723,A,2026-04-22,0,1,3997393.76,2,{}
EV-BUR-C00109,C00109,Metropol,803,A,2026-04-25,1,2,1968113.39,1,{}
EV-BUR-C00110,C00110,CreditInfo,655,B,2026-04-24,1,2,2808868.40,0,{}
EV-BUR-C00111,C00111,CreditInfo,640,B,2026-04-22,2,2,3608324.54,1,{}
EV-BUR-C00112,C00112,CreditInfo,707,B,2026-04-26,2,1,2708953.87,0,{}
EV-BUR-C00113,C00113,TransUnion,609,B,2026-04-23,1,2,789496.40,0,{}
EV-BUR-C00114,C00114,Metropol,739,A,2026-04-20,0,2,2357395.21,4,{}
EV-BUR-C00115,C00115,CreditInfo,579,C,2026-04-23,0,7,3299583.81,4,{}
EV-BUR-C00116,C00116,TransUnion,836,A,2026-04-20,1,2,399181.04,1,{}
EV-BUR-C00117,C00117,Metropol,468,D,2026-04-21,9,6,2396995.66,4,{}
EV-BUR-C00118,C00118,TransUnion,692,B,2026-04-21,2,1,2588256.23,4,{}
EV-BUR-C00119,C00119,CreditInfo,288,E,2026-04-22,5,5,1565153.08,4,{}
EV-BUR-C00120,C00120,CreditInfo,739,A,2026-04-20,2,6,1917878.90,4,{}
EV-BUR-C00121,C00121,CreditInfo,717,B,2026-04-26,2,5,952153.48,3,{}
EV-BUR-C00122,C00122,TransUnion,566,C,2026-04-26,2,7,1805544.85,3,{}
EV-BUR-C00123,C00123,TransUnion,373,E,2026-04-23,6,2,3116452.72,4,{}
EV-BUR-C00124,C00124,CreditInfo,701,B,2026-04-21,2,5,1421710.61,0,{}
EV-BUR-C00125,C00125,Metropol,590,C,2026-04-25,0,5,1936337.02,2,{}
EV-BUR-C00126,C00126,CreditInfo,840,A,2026-04-21,2,1,158832.45,3,{}
EV-BUR-C00127,C00127,Metropol,814,A,2026-04-20,1,5,2545152.68,3,{}
EV-BUR-C00128,C00128,Metropol,572,C,2026-04-24,1,6,637929.80,1,{}
EV-BUR-C00129,C00129,CreditInfo,636,B,2026-04-20,2,2,1691037.08,0,{}
EV-BUR-C00130,C00130,CreditInfo,839,A,2026-04-20,2,3,1409215.87,3,{}
EV-BUR-C00131,C00131,CreditInfo,780,A,2026-04-26,0,6,674687.89,4,{}
EV-BUR-C00132,C00132,Metropol,673,B,2026-04-26,2,4,3215754.51,1,{}
EV-BUR-C00133,C00133,Metropol,835,A,2026-04-21,1,3,1782858.53,4,{}
EV-BUR-C00134,C00134,Metropol,757,A,2026-04-25,1,3,3904796.74,3,{}
EV-BUR-C00135,C00135,Metropol,667,B,2026-04-22,2,2,446570.11,1,{}
EV-BUR-C00136,C00136,Metropol,698,B,2026-04-25,0,1,687549.76,4,{}
EV-BUR-C00137,C00137,Metropol,748,A,2026-04-23,1,4,1706239.03,3,{}
EV-BUR-C00138,C00138,TransUnion,662,B,2026-04-20,2,3,2460074.94,4,{}
EV-BUR-C00139,C00139,Metropol,295,E,2026-04-22,7,6,1093108.02,0,{}
EV-BUR-C00140,C00140,Metropol,728,A,2026-04-20,0,7,496467.09,4,{}
EV-BUR-C00141,C00141,Metropol,730,A,2026-04-25,2,4,273914.22,0,{}
EV-BUR-C00142,C00142,Metropol,767,A,2026-04-23,0,2,315325.60,3,{}
EV-BUR-C00143,C00143,TransUnion,806,A,2026-04-21,1,2,2819169.51,2,{}
EV-BUR-C00144,C00144,TransUnion,752,A,2026-04-21,2,5,2775294.75,0,{}
EV-BUR-C00145,C00145,Metropol,801,A,2026-04-26,2,4,3043100.23,2,{}
EV-BUR-C00146,C00146,TransUnion,618,B,2026-04-26,2,1,3971887.03,3,{}
EV-BUR-C00147,C00147,CreditInfo,761,A,2026-04-21,0,1,3842193.95,3,{}
EV-BUR-C00148,C00148,Metropol,710,B,2026-04-20,1,3,2855065.22,3,{}
EV-BUR-C00149,C00149,CreditInfo,422,D,2026-04-23,5,6,3703978.21,0,{}
EV-BUR-C00150,C00150,TransUnion,757,A,2026-04-26,2,3,794769.47,2,{}
EV-BUR-C00151,C00151,TransUnion,610,B,2026-04-22,0,5,345822.68,4,{}
EV-BUR-C00152,C00152,Metropol,587,C,2026-04-20,2,3,353656.97,2,{}
EV-BUR-C00153,C00153,CreditInfo,591,C,2026-04-21,0,5,870198.58,4,{}
EV-BUR-C00154,C00154,Metropol,705,B,2026-04-25,1,3,3160561.23,4,{}
EV-BUR-C00155,C00155,CreditInfo,608,B,2026-04-22,1,7,1961178.03,0,{}
EV-BUR-C00156,C00156,TransUnion,550,C,2026-04-21,0,4,2114113.65,0,{}
EV-BUR-C00157,C00157,Metropol,540,C,2026-04-20,1,7,1098886.91,4,{}
EV-BUR-C00158,C00158,Metropol,811,A,2026-04-21,0,4,3925012.96,1,{}
EV-BUR-C00159,C00159,Metropol,847,A,2026-04-20,2,4,2703944.01,0,{}
EV-BUR-C00160,C00160,TransUnion,648,B,2026-04-21,0,6,3434276.39,2,{}
EV-BUR-C00161,C00161,TransUnion,690,B,2026-04-21,1,2,3184067.33,4,{}
EV-BUR-C00162,C00162,CreditInfo,694,B,2026-04-24,2,3,1201864.71,0,{}
EV-BUR-C00163,C00163,TransUnion,663,B,2026-04-25,1,3,2591399.66,1,{}
EV-BUR-C00164,C00164,TransUnion,643,B,2026-04-23,2,3,1393228.02,4,{}
EV-BUR-C00165,C00165,TransUnion,478,D,2026-04-22,9,6,1040282.88,3,{}
EV-BUR-C00166,C00166,Metropol,816,A,2026-04-21,0,6,116355.43,2,{}
EV-BUR-C00167,C00167,TransUnion,814,A,2026-04-24,0,1,2481658.55,3,{}
EV-BUR-C00168,C00168,TransUnion,610,B,2026-04-26,0,6,1926682.14,3,{}
EV-BUR-C00169,C00169,Metropol,824,A,2026-04-24,0,7,3266005.32,1,{}
EV-BUR-C00170,C00170,CreditInfo,779,A,2026-04-25,0,6,980039.38,2,{}
EV-BUR-C00171,C00171,Metropol,620,B,2026-04-26,2,7,2067512.03,4,{}
EV-BUR-C00172,C00172,TransUnion,448,D,2026-04-20,6,5,916939.99,4,{}
EV-BUR-C00173,C00173,CreditInfo,631,B,2026-04-26,2,7,455785.62,4,{}
EV-BUR-C00174,C00174,Metropol,714,B,2026-04-21,0,6,220759.78,4,{}
EV-BUR-C00175,C00175,TransUnion,749,A,2026-04-25,0,5,1264813.53,1,{}
EV-BUR-C00176,C00176,CreditInfo,475,D,2026-04-21,9,7,1430950.44,3,{}
EV-BUR-C00177,C00177,CreditInfo,353,E,2026-04-21,8,1,749878.41,0,{}
EV-BUR-C00178,C00178,CreditInfo,698,B,2026-04-21,1,4,2253991.55,3,{}
EV-BUR-C00179,C00179,TransUnion,791,A,2026-04-26,0,1,3079632.08,4,{}
EV-BUR-C00180,C00180,Metropol,666,B,2026-04-23,0,5,1750522.22,1,{}
EV-BUR-C00181,C00181,TransUnion,731,A,2026-04-20,0,2,1638795.24,3,{}
EV-BUR-C00182,C00182,TransUnion,615,B,2026-04-23,0,6,3553810.00,2,{}
EV-BUR-C00183,C00183,CreditInfo,631,B,2026-04-24,2,2,837511.33,1,{}
EV-BUR-C00184,C00184,TransUnion,653,B,2026-04-26,1,6,745711.37,2,{}
EV-BUR-C00185,C00185,Metropol,833,A,2026-04-26,0,4,1006856.20,2,{}
EV-BUR-C00186,C00186,Metropol,763,A,2026-04-24,1,2,2902510.04,4,{}
EV-BUR-C00187,C00187,Metropol,704,B,2026-04-24,1,5,2198653.61,2,{}
EV-BUR-C00188,C00188,TransUnion,778,A,2026-04-20,0,6,2695190.27,2,{}
EV-BUR-C00189,C00189,TransUnion,614,B,2026-04-25,1,3,2826633.81,3,{}
EV-BUR-C00190,C00190,Metropol,718,B,2026-04-23,1,1,1983560.35,1,{}
EV-BUR-C00191,C00191,Metropol,703,B,2026-04-25,1,7,138414.63,4,{}
EV-BUR-C00192,C00192,TransUnion,567,C,2026-04-20,2,5,1147947.42,1,{}
EV-BUR-C00193,C00193,CreditInfo,713,B,2026-04-24,1,6,2582945.50,4,{}
EV-BUR-C00194,C00194,Metropol,694,B,2026-04-25,1,4,3826878.64,1,{}
EV-BUR-C00195,C00195,TransUnion,723,A,2026-04-24,2,4,1645931.10,1,{}
EV-BUR-C00196,C00196,Metropol,606,B,2026-04-22,0,4,1101537.39,3,{}
EV-BUR-C00197,C00197,Metropol,597,C,2026-04-26,1,4,2939567.54,3,{}
EV-BUR-C00198,C00198,TransUnion,737,A,2026-04-22,0,7,3716214.28,1,{}
EV-BUR-C00199,C00199,CreditInfo,699,B,2026-04-24,1,5,2550727.12,3,{}
EV-BUR-C00200,C00200,Metropol,678,B,2026-04-25,0,2,3158244.16,0,{}
EV-BUR-C00201,C00201,CreditInfo,612,B,2026-04-26,2,4,2224079.67,1,{}
EV-BUR-C00202,C00202,TransUnion,544,C,2026-04-23,0,5,3002226.85,4,{}
EV-BUR-C00203,C00203,CreditInfo,825,A,2026-04-21,1,5,2401479.09,2,{}
EV-BUR-C00204,C00204,Metropol,828,A,2026-04-24,1,2,1727718.44,4,{}
EV-BUR-C00205,C00205,CreditInfo,672,B,2026-04-22,0,6,3396813.58,0,{}
EV-BUR-C00206,C00206,CreditInfo,548,C,2026-04-21,2,6,670637.82,0,{}
EV-BUR-C00207,C00207,TransUnion,664,B,2026-04-26,1,3,3664071.04,1,{}
EV-BUR-C00208,C00208,TransUnion,641,B,2026-04-20,1,7,3175359.69,2,{}
EV-BUR-C00209,C00209,Metropol,785,A,2026-04-25,2,7,2665568.99,2,{}
EV-BUR-C00210,C00210,Metropol,768,A,2026-04-26,1,7,2371128.38,3,{}
EV-BUR-C00211,C00211,TransUnion,553,C,2026-04-20,0,7,767851.32,3,{}
EV-BUR-C00212,C00212,TransUnion,744,A,2026-04-25,1,2,2378993.23,3,{}
EV-BUR-C00213,C00213,CreditInfo,583,C,2026-04-20,1,7,3463486.64,4,{}
EV-BUR-C00214,C00214,TransUnion,767,A,2026-04-22,2,3,3541406.00,2,{}
EV-BUR-C00215,C00215,TransUnion,610,B,2026-04-26,0,2,194977.78,1,{}
EV-BUR-C00216,C00216,CreditInfo,545,C,2026-04-21,0,2,899751.95,3,{}
EV-BUR-C00217,C00217,TransUnion,773,A,2026-04-24,2,5,3337843.47,3,{}
EV-BUR-C00218,C00218,CreditInfo,831,A,2026-04-24,0,5,1114463.92,0,{}
EV-BUR-C00219,C00219,Metropol,492,D,2026-04-22,3,5,1911006.59,1,{}
EV-BUR-C00220,C00220,CreditInfo,541,C,2026-04-23,1,7,1642184.03,1,{}
EV-BUR-C00221,C00221,CreditInfo,722,A,2026-04-21,2,6,2372694.58,3,{}
EV-BUR-C00222,C00222,Metropol,572,C,2026-04-20,2,4,866182.33,4,{}
EV-BUR-C00223,C00223,TransUnion,672,B,2026-04-20,0,7,2690876.48,4,{}
EV-BUR-C00224,C00224,Metropol,822,A,2026-04-21,1,4,2216424.44,4,{}
EV-BUR-C00225,C00225,CreditInfo,621,B,2026-04-20,0,5,220926.46,2,{}
EV-BUR-C00226,C00226,CreditInfo,676,B,2026-04-24,2,4,2678699.78,2,{}
EV-BUR-C00227,C00227,CreditInfo,283,E,2026-04-21,6,1,1958465.46,0,{}
EV-BUR-C00228,C00228,CreditInfo,815,A,2026-04-22,0,4,2555235.37,0,{}
EV-BUR-C00229,C00229,Metropol,597,C,2026-04-20,0,1,2011790.01,1,{}
EV-BUR-C00230,C00230,Metropol,811,A,2026-04-22,1,1,3797165.52,0,{}
EV-BUR-C00231,C00231,CreditInfo,832,A,2026-04-21,2,6,3025145.75,4,{}
EV-BUR-C00232,C00232,CreditInfo,365,E,2026-04-25,6,3,2466572.93,3,{}
EV-BUR-C00233,C00233,CreditInfo,827,A,2026-04-24,1,2,3654659.71,1,{}
EV-BUR-C00234,C00234,Metropol,652,B,2026-04-26,2,4,54262.18,1,{}
EV-BUR-C00235,C00235,CreditInfo,824,A,2026-04-22,2,7,1467049.35,1,{}
EV-BUR-C00236,C00236,CreditInfo,312,E,2026-04-24,5,3,196232.65,3,{}
EV-BUR-C00237,C00237,TransUnion,780,A,2026-04-21,0,5,205255.15,0,{}
EV-BUR-C00238,C00238,CreditInfo,799,A,2026-04-22,0,7,306226.22,3,{}
EV-BUR-C00239,C00239,TransUnion,710,B,2026-04-21,2,1,1435426.86,4,{}
EV-BUR-C00240,C00240,CreditInfo,590,C,2026-04-23,2,3,2359372.42,0,{}
EV-BUR-C00241,C00241,CreditInfo,696,B,2026-04-26,2,6,3607725.79,0,{}
EV-BUR-C00242,C00242,Metropol,636,B,2026-04-20,1,5,58175.20,2,{}
EV-BUR-C00243,C00243,Metropol,772,A,2026-04-22,1,6,1447629.50,4,{}
EV-BUR-C00244,C00244,TransUnion,849,A,2026-04-26,0,2,1104735.79,4,{}
EV-BUR-C00245,C00245,CreditInfo,776,A,2026-04-20,0,1,2306059.04,3,{}
EV-BUR-C00246,C00246,TransUnion,568,C,2026-04-25,0,4,1027826.84,2,{}
EV-BUR-C00247,C00247,Metropol,664,B,2026-04-25,1,7,2455917.75,1,{}
EV-BUR-C00248,C00248,Metropol,735,A,2026-04-26,0,1,3006199.75,0,{}
EV-BUR-C00249,C00249,Metropol,707,B,2026-04-20,1,3,1255307.01,3,{}
EV-BUR-C00250,C00250,Metropol,507,C,2026-04-25,3,3,3622060.58,4,{}
EV-BUR-C00251,C00251,TransUnion,697,B,2026-04-23,2,7,748042.01,1,{}
EV-BUR-C00252,C00252,TransUnion,627,B,2026-04-24,0,2,1417482.44,2,{}
EV-BUR-C00253,C00253,TransUnion,669,B,2026-04-21,1,2,1493272.28,3,{}
EV-BUR-C00254,C00254,TransUnion,803,A,2026-04-25,2,4,1757253.67,4,{}
EV-BUR-C00255,C00255,CreditInfo,849,A,2026-04-21,2,2,238833.37,4,{}
EV-BUR-C00256,C00256,CreditInfo,634,B,2026-04-22,1,3,3170593.34,3,{}
EV-BUR-C00257,C00257,Metropol,689,B,2026-04-22,1,4,802775.73,4,{}
EV-BUR-C00258,C00258,TransUnion,809,A,2026-04-23,2,5,501106.47,3,{}
EV-BUR-C00259,C00259,Metropol,727,A,2026-04-21,0,2,1179699.53,1,{}
EV-BUR-C00260,C00260,CreditInfo,835,A,2026-04-25,2,4,2363193.48,4,{}
EV-BUR-C00261,C00261,TransUnion,550,C,2026-04-25,1,6,2798003.92,0,{}
EV-BUR-C00262,C00262,Metropol,540,C,2026-04-24,0,6,3809153.86,4,{}
EV-BUR-C00263,C00263,CreditInfo,837,A,2026-04-22,0,1,809145.80,4,{}
EV-BUR-C00264,C00264,TransUnion,702,B,2026-04-26,0,3,2236438.89,1,{}
EV-BUR-C00265,C00265,TransUnion,687,B,2026-04-20,0,2,3923001.53,2,{}
EV-BUR-C00266,C00266,TransUnion,850,A,2026-04-23,0,3,1384915.34,0,{}
EV-BUR-C00267,C00267,TransUnion,636,B,2026-04-23,0,2,3592411.53,0,{}
EV-BUR-C00268,C00268,Metropol,752,A,2026-04-23,1,6,3992039.82,3,{}
EV-BUR-C00269,C00269,TransUnion,563,C,2026-04-22,2,7,3130909.02,0,{}
EV-BUR-C00270,C00270,TransUnion,766,A,2026-04-25,2,4,2993228.12,2,{}
EV-BUR-C00271,C00271,CreditInfo,830,A,2026-04-24,0,6,3198040.51,0,{}
EV-BUR-C00272,C00272,Metropol,615,B,2026-04-22,1,2,2213834.55,1,{}
EV-BUR-C00273,C00273,TransUnion,702,B,2026-04-26,0,2,2055610.75,1,{}
EV-BUR-C00274,C00274,TransUnion,604,B,2026-04-24,1,2,3908277.98,1,{}
EV-BUR-C00275,C00275,TransUnion,795,A,2026-04-24,1,5,376805.42,3,{}
EV-BUR-C00276,C00276,Metropol,634,B,2026-04-21,0,4,2820892.59,3,{}
EV-BUR-C00277,C00277,TransUnion,778,A,2026-04-24,0,3,2820913.36,0,{}
EV-BUR-C00278,C00278,TransUnion,753,A,2026-04-26,2,7,3766321.50,4,{}
EV-BUR-C00279,C00279,CreditInfo,611,B,2026-04-20,0,2,293583.84,1,{}
EV-BUR-C00280,C00280,TransUnion,772,A,2026-04-23,1,6,3803873.80,3,{}
EV-BUR-C00281,C00281,CreditInfo,647,B,2026-04-23,2,5,3048371.44,3,{}
EV-BUR-C00282,C00282,Metropol,555,C,2026-04-20,0,6,2367495.21,2,{}
EV-BUR-C00283,C00283,TransUnion,651,B,2026-04-25,0,4,734345.80,3,{}
EV-BUR-C00284,C00284,TransUnion,720,A,2026-04-22,1,7,360176.90,0,{}
EV-BUR-C00285,C00285,TransUnion,842,A,2026-04-23,1,1,2148061.65,4,{}
EV-BUR-C00286,C00286,TransUnion,775,A,2026-04-25,0,1,3281811.95,3,{}
EV-BUR-C00287,C00287,CreditInfo,541,C,2026-04-22,1,6,97636.65,1,{}
EV-BUR-C00288,C00288,Metropol,697,B,2026-04-25,0,4,2693868.08,4,{}
EV-BUR-C00289,C00289,CreditInfo,616,B,2026-04-26,2,4,1713006.60,3,{}
EV-BUR-C00290,C00290,TransUnion,795,A,2026-04-23,1,4,1636488.56,1,{}
EV-BUR-C00291,C00291,CreditInfo,541,C,2026-04-21,0,1,1972764.33,2,{}
EV-BUR-C00292,C00292,TransUnion,596,C,2026-04-21,0,4,1663563.38,4,{}
EV-BUR-C00293,C00293,CreditInfo,644,B,2026-04-25,0,6,104077.82,1,{}
EV-BUR-C00294,C00294,Metropol,400,D,2026-04-20,7,2,2895112.99,4,{}
EV-BUR-C00295,C00295,Metropol,844,A,2026-04-21,1,1,3490267.64,4,{}
EV-BUR-C00296,C00296,CreditInfo,624,B,2026-04-23,1,7,2080751.68,0,{}
